Questions,Answers
What is the difference between tuple and dictionary?,"One major difference between a tuple and a dictionary is that dictionary is mutable while a tuple is not. Meaning the content of a dictionary can be changed without changing it’s identity, but in tuple that’s not possible."
How can an object be copied in Python?,"Not all objects can be copied in Python, but most can. We ca use the “=” operator to copy an obect to a variable."
What are module and package in Python?,"Modules are the way to structure a program. Each Python program file is a module, importing other attributes and objects. The folder of a program is a package of modules. A package can have modules or subfolders."
What is object() function in Python?,In Python the object() function returns an empty object. New properties or methods cannot be added to this object.
What is the difference between NumPy and SciPy?,"NumPy stands for Numerical Python while SciPy stands for Scientific Python. NumPy is the basic library for defining arrays and simple mathematica problems, while SciPy is used for more complex problems like numerical integration and optimization and machine learning and so on."
What is the type () in Python?,type() is a built-in method which either returns the type of the object or returns a new type object based on the arguments passed.
What is reindexing in pandas?,Reindexing is the process of re-assigning the index of a pandas dataframe.
What is vstack() in numpy?,vstack() is a function to align rows vertically. All rows must have same number of elements.
How do you create an empty class in Python?,To create an empty class we can use the pass command after the definition of the class object. A pass is a statement in Python that does nothing.
How can you get a random number in python?,"To generate a random, we use a random module of python."
How do I prepare for a Python interview?,"To prepare for a Python Interview, you must know syntax, key-words, functions and classes, data types, basic coding, and exception handling. Having basic knowledge regarding all the libraries, IDE’s used and reading blogs related to Python Tutorial’s will help you going forward. Showcase your example projects, brush up your basic skills about algorithms, data structures. This will help you stay prepared."
What is print in python,"The print() function prints the specified message to the screen, or other standard output device. The message can be a string, or any other object, the object will be converted into a string before written to the screen."
What is list ?,Lists are used to store multiple items in a single variable.
